Date,Bay,TrapEffort,Precip,Tmin,Tmax,LunarBright
8/25/04,37,0,NA,NA,NA,0.7
8/26/04,37,0,NA,NA,NA,0.8
8/27/04,37,0,NA,NA,NA,0.89
8/28/04,37,0,NA,NA,NA,0.95
8/29/04,37,0,NA,NA,NA,0.99
8/30/04,37,0,NA,NA,NA,1
8/31/04,37,0,NA,NA,NA,0.98
9/1/04,37,0,NA,NA,NA,0.94
9/2/04,37,0,NA,NA,NA,0.89
9/3/04,37,0,NA,NA,NA,0.81
9/4/04,37,0,NA,NA,NA,0.73
9/5/04,37,0,NA,NA,NA,0.64
9/6/04,37,0,NA,NA,NA,0.54
9/7/04,37,0,NA,NA,NA,0.45
9/8/04,37,0,NA,NA,NA,0.35
9/9/04,37,0,NA,NA,NA,0.27
9/10/04,37,0,NA,NA,NA,0.19
9/11/04,37,0,NA,NA,NA,0.12
9/12/04,37,0,NA,NA,NA,0.06
9/13/04,37,0,NA,NA,NA,0.02
9/14/04,37,272,1,22,29,0
9/15/04,37,272,0,22,29,0
9/16/04,37,272,0.2,22,29,0.03
9/17/04,37,272,6.3,24,29,0.08
9/18/04,37,272,1,18,29,0.15
9/19/04,37,272,0,16,29,0.24
9/20/04,37,272,0,13,25,0.34
9/21/04,37,272,0,14,24,0.45
9/22/04,37,272,0,13,26,0.56
9/23/04,37,272,0,16,28,0.68
9/24/04,37,272,0,19,30,0.78
9/25/04,37,272,0,13,29,0.86
9/26/04,37,272,0,20,28,0.93
9/27/04,37,272,39,22,26,0.98
9/28/04,37,272,20,21,25,1
9/29/04,37,272,0,19,29,0.99
9/30/04,37,272,0,18,29,0.97
10/1/04,37,272,0,18,29,0.92
10/2/04,37,272,1,22,30,0.86
10/3/04,37,272,0,19,32,0.79
10/4/04,37,272,2.2,16,31,0.71
10/5/04,37,272,0,19,22,0.62
10/6/04,37,272,0,16,29,0.52
10/7/04,37,272,0,14,29,0.43
10/8/04,37,272,0,10,25,0.33
10/9/04,37,272,0,10,25,0.25
10/10/04,37,272,0.2,18,25,0.17
10/11/04,37,272,0,18,26,0.1
10/12/04,37,272,0,18,26,0.04
10/13/04,37,272,8.8,18,24,0.01
10/14/04,37,272,0,13,29,0
10/15/04,37,272,11.4,14,29,0.02
10/16/04,37,272,0,8,25,0.06
10/17/04,37,272,0,12,25,0.12
10/18/04,37,272,0,14,24,0.21
10/19/04,37,272,0,12,27,0.31
10/20/04,37,272,1.6,18,28,0.42
10/21/04,37,272,0,16,24,0.53
10/22/04,37,272,22,16,20,0.65
10/23/04,37,272,0,16,24,0.75
10/24/04,37,272,0,13,21,0.84
10/25/04,37,272,1.8,15,19,0.91
10/26/04,37,272,0.4,15,25,0.96
10/27/04,37,272,0,13,22,0.99
10/28/04,37,272,0,17,24,1
10/29/04,37,272,1.2,18,23,0.99
10/30/04,37,272,0,17,24,0.96
10/31/04,37,272,0,17,28,0.91
11/1/04,37,272,0,15,29,0.85
11/2/04,37,272,0,21,29,0.77
11/3/04,37,272,0,20,29,0.69
11/4/04,37,272,0,20,30,0.6
11/5/04,37,272,13.2,10,25,0.5
11/6/04,37,272,0,5,25,0.41
11/7/04,37,272,0,5,24,0.31
11/8/04,37,272,0,9,22,0.22
11/9/04,37,272,0,7,24,0.14
11/10/04,37,272,0,2,17,0.07
11/11/04,37,272,4.3,7,17,0.03
11/12/04,37,272,0.5,12,21,0
11/13/04,37,272,6.2,12,20,0.01
11/14/04,37,272,0,9,21,0.04
11/15/04,37,272,0,0,14,0.1
11/16/04,37,272,0,1,16,0.18
11/17/04,37,272,0,3,18,0.28
11/18/04,37,272,0,3,21,0.39
11/19/04,37,272,0,9,21,0.5
11/20/04,37,272,0,13,22,0.61
11/21/04,37,272,0,15,24,0.71
11/22/04,37,272,0,16,23,0.8
11/23/04,37,272,0.1,16,23,0.88
11/24/04,37,272,63.4,17,19,0.93
11/25/04,37,272,8.6,12,20,0.97
11/26/04,37,272,0,0,19,1
11/27/04,37,0,NA,NA,NA,1
11/28/04,37,544,13.4,1,13,0.98
11/29/04,37,0,NA,NA,NA,0.95
11/30/04,37,544,0,1,16,0.9
12/1/04,37,272,1.1,13,19,0.84
12/2/04,37,272,0,1,18,0.76
12/3/04,37,272,0,2,16,0.68
12/4/04,37,272,0,4,16,0.58
12/5/04,37,272,0,2,19,0.48
12/6/04,37,272,0.4,11,18,0.38
12/7/04,37,272,0,14,21,0.29
12/8/04,37,272,0,14,24,0.19
12/9/04,37,272,1,12,25,0.11
12/10/04,37,272,40,13,24,0.05
12/11/04,37,272,0,2,23,0.01
12/12/04,37,0,NA,NA,NA,0
12/13/04,37,544,0,3,13,0.02
12/14/04,37,272,0,1,19,0.07
12/15/04,37,0,NA,NA,NA,0.14
12/16/04,37,544,0,-5,9,0.24
12/17/04,37,0,NA,NA,NA,0.34
12/18/04,37,544,0,0,16,0.45
12/19/04,37,0,NA,NA,NA,0.56
12/20/04,37,0,NA,NA,NA,0.66
12/21/04,37,816,0,-4,16,0.75
12/22/04,37,0,NA,NA,NA,0.83
12/23/04,37,544,7.6,1,20,0.9
12/24/04,37,272,0,5,20,0.95
12/25/04,37,0,NA,NA,NA,0.98
12/26/04,37,544,25.2,-1,6.5,1
12/27/04,37,0,NA,NA,NA,1
12/28/04,37,544,3.2,-5,8,0.98
12/29/04,37,0,NA,NA,NA,0.94
12/30/04,37,0,NA,NA,NA,0.89
12/31/04,37,816,0,-4,18,0.82
1/1/05,37,0,NA,NA,NA,0.74
1/2/05,37,544,0.4,6,22,0.65
1/3/05,37,0,NA,NA,NA,0.56
1/4/05,37,544,0.1,8,21,0.45
1/5/05,37,0,NA,NA,NA,0.35
1/6/05,37,544,0,10,24,0.25
1/7/05,37,272,0.6,14,24,0.16
1/8/05,37,272,0,14,23,0.08
1/9/05,37,0,NA,NA,NA,0.03
1/10/05,37,544,0,5,22,0
1/11/05,37,0,NA,NA,NA,0.01
1/12/05,37,544,0,8,21,0.05
1/13/05,37,0,NA,NA,NA,0.11
1/14/05,37,544,30.8,13,25,0.19
1/15/05,37,0,NA,NA,NA,0.29
1/16/05,37,544,0,3,15,0.39
1/17/05,37,0,NA,NA,NA,0.49
1/18/05,37,544,0,-6,15,0.59
1/19/05,37,0,NA,NA,NA,0.69
1/20/05,37,544,0,-6,11,0.77
1/21/05,37,0,NA,NA,NA,0.85
1/22/05,37,544,0,4,19,0.91
1/23/05,37,272,4.4,-3,11,0.95
1/24/05,37,0,NA,NA,NA,0.98
1/25/05,37,0,NA,NA,NA,1
1/26/05,37,816,0,-7,16,0.99
1/27/05,37,0,NA,NA,NA,0.97
1/28/05,37,544,0,0,19,0.93
1/29/05,37,0,NA,NA,NA,0.87
1/30/05,37,544,18.2,-1,6,0.8
1/31/05,37,0,NA,NA,NA,0.71
2/1/05,37,544,0,2,12,0.62
2/2/05,37,0,NA,NA,NA,0.51
2/3/05,37,544,16.3,3,11,0.4
2/4/05,37,0,NA,NA,NA,0.3
2/5/05,37,544,0,0,15,0.2
2/6/05,37,0,NA,NA,NA,0.11
2/7/05,37,544,0,1,18,0.05
2/8/05,37,0,NA,NA,NA,0.01
2/9/05,37,544,0,3,21,0
2/10/05,37,272,21.8,7,16,0.02
2/11/05,37,0,NA,NA,NA,0.07
2/12/05,37,0,NA,NA,NA,0.14
2/13/05,37,816,0.3,-2,19,0.23
2/14/05,37,0,NA,NA,NA,0.32
2/15/05,37,544,5.1,9,19,0.42
2/16/05,37,0,NA,NA,NA,0.52
2/17/05,37,544,0,10,21,0.62
2/18/05,37,0,NA,NA,NA,0.71
2/19/05,37,544,0,-1,18,0.79
2/20/05,37,0,NA,NA,NA,0.86
2/21/05,37,544,6.2,6,20,0.92
2/22/05,37,272,16.9,12,24,0.96
2/23/05,37,0,NA,NA,NA,0.99
2/24/05,37,544,18.3,9,25,1
2/25/05,37,272,4.3,6,25,0.99
2/26/05,37,0,NA,NA,NA,0.96
2/27/05,37,0,NA,NA,NA,0.91
2/28/05,37,816,23.8,0,15,0.85
3/1/05,37,272,0.2,3,12,0.76
3/2/05,37,0,NA,NA,NA,0.67
3/3/05,37,544,0,-1,13,0.56
3/4/05,37,272,0,-1,15,0.45
3/5/05,37,272,0.6,1,24,0.34
3/6/05,37,0,NA,NA,NA,0.23
3/7/05,37,0,NA,NA,NA,0.14
3/8/05,37,816,9.9,3,24,0.07
3/9/05,37,0,NA,NA,NA,0.02
3/10/05,37,0,NA,NA,NA,0
3/11/05,37,816,0,-1,24,0.01
3/12/05,37,0,NA,NA,NA,0.04
3/13/05,37,544,0.1,4,25,0.1
3/14/05,37,0,NA,NA,NA,0.17
3/15/05,37,544,0,6,28,0.26
3/16/05,37,272,24.5,8,18,0.35
3/17/05,37,272,4,4,8,0.44
3/18/05,37,0,NA,NA,NA,0.54
3/19/05,37,544,0,1,18,0.63
3/20/05,37,0,NA,NA,NA,0.72
3/21/05,37,544,0,5,24,0.8
3/22/05,37,0,NA,NA,NA,0.87
3/23/05,37,544,12.8,12,19,0.93
3/24/05,37,0,NA,NA,NA,0.97
3/25/05,37,544,0,7,26,0.99
3/26/05,37,0,NA,NA,NA,1
3/27/05,37,544,59.8,12,25,0.98
3/28/05,37,272,30.6,11,19,0.94
3/29/05,37,272,0.1,8,23,0.88
3/30/05,37,272,0,8,29,0.8
3/31/05,37,272,0,8,30,0.7
4/1/05,37,272,8,14,18,0.6
4/2/05,37,272,7.2,9,19,0.48
4/3/05,37,0,NA,NA,NA,0.37
4/4/05,37,544,0,7,28,0.26
4/5/05,37,0,NA,NA,NA,0.17
4/6/05,37,544,0,11,30,0.09
4/7/05,37,0,NA,NA,NA,0.03
4/8/05,37,544,7.6,16,28,0.01
4/9/05,37,272,0.3,9,24,0
4/10/05,37,0,NA,NA,NA,0.02
4/11/05,37,0,NA,NA,NA,0.06
4/12/05,37,816,0,8,31,0.12
4/13/05,37,0,NA,NA,NA,0.2
4/14/05,37,544,0,8,27,0.28
4/15/05,37,0,NA,NA,NA,0.37
4/16/05,37,544,0,6,19,0.46
4/17/05,37,0,NA,NA,NA,0.56
4/18/05,37,544,0,5,28,0.65
4/19/05,37,0,NA,NA,NA,0.74
4/20/05,37,544,0,11,32,0.82
4/21/05,37,0,NA,NA,NA,0.89
4/22/05,37,544,0,12,32,0.95
4/23/05,37,272,12.8,15,32,0.98
4/24/05,37,0,NA,NA,NA,1
4/25/05,37,0,NA,NA,NA,0.99
4/26/05,37,816,1.5,4,25,0.96
4/27/05,37,272,0.3,13,21,0.9
4/28/05,37,272,0,7,27,0.83
4/29/05,37,0,NA,NA,NA,0.73
4/30/05,37,0,NA,NA,NA,0.62
5/1/05,37,816,14.4,15,29,0.51
5/2/05,37,272,0,10,30,0.39
5/3/05,37,0,NA,NA,NA,0.29
5/4/05,37,544,0,10,29,0.19
5/5/05,37,272,0,16,30,0.11
5/6/05,37,272,1.3,12,17,0.05
5/7/05,37,0,NA,NA,NA,0.01
5/8/05,37,544,0,10,31,0
5/9/05,37,0,NA,NA,NA,0.01
5/10/05,37,544,0,14,35,0.04
5/11/05,37,272,2.8,14,32,0.08
5/12/05,37,272,0,15,39,0.14
5/13/05,37,0,NA,NA,NA,0.22
5/14/05,37,544,0,11,33,0.3
5/15/05,37,0,NA,NA,NA,0.39
5/16/05,37,544,12.8,17,32,0.49
5/17/05,37,0,NA,NA,NA,0.58
5/18/05,37,544,0,17,32,0.68
5/19/05,37,0,NA,NA,NA,0.77
5/20/05,37,544,2,15,34,0.85
5/21/05,37,272,4.4,14,28,0.91
5/22/05,37,0,NA,NA,NA,0.97
5/23/05,37,0,NA,NA,NA,0.99
5/24/05,37,816,0,11,38,1
5/25/05,37,0,NA,NA,NA,0.97
5/26/05,37,544,0,11,33,0.92
5/27/05,37,0,NA,NA,NA,0.85
5/28/05,37,544,0,14,31,0.75
5/29/05,37,0,NA,NA,NA,0.65
5/30/05,37,544,42.6,16,33,0.53
5/31/05,37,0,NA,NA,NA,0.42
6/1/05,37,544,14.6,18,20,0.31
6/2/05,37,272,40.6,21,30,0.22
6/3/05,37,272,25.8,21,25,0.14
6/4/05,37,272,0.8,21,28,0.07
6/5/05,37,0,NA,NA,NA,0.03
6/6/05,37,0,NA,NA,NA,0.01
6/7/05,37,816,9,19,37,0
6/8/05,37,0,NA,NA,NA,0.02
6/9/05,37,544,5.3,21,35,0.05
6/10/05,37,272,2,22,32,0.1
6/11/05,37,0,NA,NA,NA,0.17
6/12/05,37,544,5.8,22,32,0.24
6/13/05,37,272,5.3,24,32,0.33
6/14/05,37,272,0,22,37,0.42
6/15/05,37,272,0,23,40,0.52
6/16/05,37,272,0,21,38,0.61
6/17/05,37,272,0,20,36,0.71
6/18/05,37,272,0,20,30,0.8
6/19/05,37,0,NA,NA,NA,0.88
6/20/05,37,544,0.5,23,34,0.94
6/21/05,37,0,NA,NA,NA,0.99
6/22/05,37,544,0.8,11,35,1
6/23/05,37,272,0,20,34,0.98
6/24/05,37,272,0,19,37,0.94
6/25/05,37,0,NA,NA,NA,0.87
6/26/05,37,544,0.9,21,32,0.78
6/27/05,37,272,7,23,34,0.67
6/28/05,37,272,5.6,24,33,0.56
6/29/05,37,272,25.4,23,27,0.45
6/30/05,37,272,0,23,36,0.35
7/1/05,37,0,NA,NA,NA,0.25
7/2/05,37,544,12.4,22,37.5,0.17
7/3/05,37,272,12.5,22,33,0.1
7/4/05,37,0,NA,NA,NA,0.05
7/5/05,37,544,25.2,22,39,0.02
7/6/05,37,0,NA,NA,NA,0
7/7/05,37,544,2,22,38,0.01
7/8/05,37,0,NA,NA,NA,0.03
7/9/05,37,544,0,20,38,0.07
7/10/05,37,0,NA,NA,NA,0.12
7/11/05,37,544,77.2,21,32,0.19
7/12/05,37,0,NA,NA,NA,0.27
7/13/05,37,544,0.3,22.5,39,0.36
7/14/05,37,272,32.2,22,33,0.46
7/15/05,37,0,NA,NA,NA,0.56
7/16/05,37,544,19.6,22,35,0.66
7/17/05,37,0,NA,NA,NA,0.76
7/18/05,37,544,0.4,22,37,0.85
7/19/05,37,272,1.4,24,39,0.92
7/20/05,37,0,NA,NA,NA,0.97
7/21/05,37,544,6.3,24,40,1
7/22/05,37,0,NA,NA,NA,0.99
7/23/05,37,544,5,24,36,0.95
7/24/05,37,0,NA,NA,NA,0.89
7/25/05,37,544,0,22,35,0.8
7/26/05,37,0,NA,NA,NA,0.71
7/27/05,37,544,0,24,40,0.6
7/28/05,37,0,NA,NA,NA,0.49
7/29/05,37,544,0,25,39,0.39
7/30/05,37,0,NA,NA,NA,0.29
7/31/05,37,0,NA,NA,NA,0.21
8/1/05,37,0,NA,NA,NA,0.14
8/2/05,37,0,NA,NA,NA,0.08
8/3/05,37,0,NA,NA,NA,0.04
8/4/05,37,0,NA,NA,NA,0.01
8/5/05,37,0,NA,NA,NA,0
8/6/05,37,0,NA,NA,NA,0.01
8/7/05,37,0,NA,NA,NA,0.04
8/8/05,37,0,NA,NA,NA,0.08
8/9/05,37,0,NA,NA,NA,0.15
8/10/05,37,0,NA,NA,NA,0.22
8/11/05,37,0,NA,NA,NA,0.31
8/12/05,37,0,NA,NA,NA,0.41
8/13/05,37,0,NA,NA,NA,0.51
8/14/05,37,0,NA,NA,NA,0.62
8/15/05,37,0,NA,NA,NA,0.72
8/16/05,37,0,NA,NA,NA,0.82
8/17/05,37,0,NA,NA,NA,0.9
8/18/05,37,0,NA,NA,NA,0.96
8/19/05,37,0,NA,NA,NA,0.99
8/20/05,37,0,NA,NA,NA,1
8/21/05,37,0,NA,NA,NA,0.97
8/22/05,37,0,NA,NA,NA,0.91
8/23/05,37,0,NA,NA,NA,0.84
8/24/05,37,0,NA,NA,NA,0.75
8/25/05,37,0,NA,NA,NA,0.65
8/26/05,37,0,NA,NA,NA,0.55
8/27/05,37,0,NA,NA,NA,0.44
8/28/05,37,0,NA,NA,NA,0.35
8/29/05,37,0,NA,NA,NA,0.26
8/30/05,37,0,NA,NA,NA,0.18
8/31/05,37,0,NA,NA,NA,0.11
9/1/05,37,0,NA,NA,NA,0.06
9/2/05,37,0,NA,NA,NA,0.02
9/3/05,37,0,NA,NA,NA,0
9/4/05,37,0,NA,NA,NA,0
9/5/05,37,0,NA,NA,NA,0.02
9/6/05,37,0,NA,NA,NA,0.05
9/7/05,37,0,NA,NA,NA,0.11
9/8/05,37,0,NA,NA,NA,0.18
9/9/05,37,0,NA,NA,NA,0.27
9/10/05,37,0,NA,NA,NA,0.36
9/11/05,37,0,NA,NA,NA,0.47
9/12/05,37,0,NA,NA,NA,0.58
9/13/05,37,0,NA,NA,NA,0.69
9/14/05,37,0,NA,NA,NA,0.79
9/15/05,37,0,NA,NA,NA,0.88
9/16/05,37,0,NA,NA,NA,0.95
9/17/05,37,0,NA,NA,NA,0.99
9/18/05,37,0,NA,NA,NA,1
9/19/05,37,0,NA,NA,NA,0.98
9/20/05,37,0,NA,NA,NA,0.94
9/21/05,37,0,NA,NA,NA,0.87
9/22/05,37,0,NA,NA,NA,0.79
9/23/05,37,0,NA,NA,NA,0.7
9/24/05,37,0,NA,NA,NA,0.61
9/25/05,37,0,NA,NA,NA,0.51
9/26/05,37,0,NA,NA,NA,0.41
9/27/05,37,0,NA,NA,NA,0.32
9/28/05,37,0,NA,NA,NA,0.24
9/29/05,37,0,NA,NA,NA,0.16
9/30/05,37,0,NA,NA,NA,0.1
10/1/05,37,0,NA,NA,NA,0.05
10/2/05,37,0,NA,NA,NA,0.01
10/3/05,37,0,NA,NA,NA,0
10/4/05,37,0,NA,NA,NA,0.01
10/5/05,37,0,NA,NA,NA,0.03
10/6/05,37,24,41.6,21,26,0.08
10/7/05,37,24,7.2,21,24,0.15
10/8/05,37,24,27,22,25,0.23
10/9/05,37,0,NA,NA,NA,0.33
10/10/05,37,48,3.8,20,27,0.44
10/11/05,37,0,NA,NA,NA,0.55
10/12/05,37,48,0.6,19,23,0.66
10/13/05,37,24,2.4,17,26,0.77
10/14/05,37,0,NA,NA,NA,0.86
10/15/05,37,48,0.2,13,28,0.93
10/16/05,37,0,NA,NA,NA,0.98
10/17/05,37,48,0,10,29,1
10/18/05,37,0,NA,NA,NA,0.99
10/19/05,37,48,0,10,27,0.96
10/20/05,37,0,NA,NA,NA,0.91
10/21/05,37,48,0,15,31,0.84
10/22/05,37,24,8,18,30.5,0.76
10/23/05,37,0,NA,NA,NA,0.68
10/24/05,37,48,0,9,28,0.58
10/25/05,37,0,NA,NA,NA,0.49
10/26/05,37,48,0,3,20,0.39
10/27/05,37,0,NA,NA,NA,0.3
10/28/05,37,48,0,3,21,0.22
10/29/05,37,0,NA,NA,NA,0.15
10/30/05,37,0,NA,NA,NA,0.08
10/31/05,37,72,0,3,21,0.04
11/1/05,37,0,NA,NA,NA,0.01
11/2/05,37,48,0,9,25,0
11/3/05,37,0,NA,NA,NA,0.02
11/4/05,37,48,0,4,24,0.05
11/5/05,37,0,NA,NA,NA,0.12
11/6/05,37,0,NA,NA,NA,0.2
11/7/05,37,72,0,10,26,0.29
11/8/05,37,0,NA,NA,NA,0.4
11/9/05,37,0,NA,NA,NA,0.52
11/10/05,37,72,0,9,28,0.63
11/11/05,37,0,NA,NA,NA,0.74
11/12/05,37,160,0,1,25,0.83
11/13/05,37,0,NA,NA,NA,0.91
11/14/05,37,320,0,7,25,0.96
11/15/05,37,160,0,15,27,0.99
11/16/05,37,160,0.2,18,27,1
11/17/05,37,160,0.6,10,29,0.98
11/18/05,37,0,NA,NA,NA,0.95
11/19/05,37,320,0,-2,15,0.89
11/20/05,37,0,NA,NA,NA,0.83
11/21/05,37,320,56.5,10,15,0.75
11/22/05,37,160,5.7,5,16,0.66
11/23/05,37,160,0,0,14,0.57
11/24/05,37,0,NA,NA,NA,0.47
11/25/05,37,320,0,1,21,0.38
11/26/05,37,0,NA,NA,NA,0.29
11/27/05,37,320,0,2,16,0.21
11/28/05,37,160,0.4,12,18,0.13
11/29/05,37,160,1.6,17,24,0.07
11/30/05,37,0,NA,NA,NA,0.03
12/1/05,37,320,0,2,24,0
12/2/05,37,0,NA,NA,NA,0.01
12/3/05,37,320,0,-1,17,0.03
12/4/05,37,160,0.8,11,23,0.09
12/5/05,37,160,0.4,14,21,0.17
12/6/05,37,160,19.8,2,16,0.26
12/7/05,37,160,0.4,0,12,0.37
12/8/05,37,0,NA,NA,NA,0.48
12/9/05,37,320,11.6,4,12,0.59
12/10/05,37,0,NA,NA,NA,0.7
12/11/05,37,320,0,-2,13,0.79
12/12/05,37,0,NA,NA,NA,0.87
12/13/05,37,320,0,-1,16,0.93
