Date,Bay,Buckets,CoffeeCan,SnakeTraps,Precip,Tmin,Tmax,LunarBright,SnakeTrapComments,DayOnly,WeatherComments
3/10/03,eBay,82,42,40,0,10.55555556,23.88888889,0.4,All,0,MAR 9 BUSH FIELD TEMP DATA
3/11/03,eBay,82,42,40,0,4.444444444,23.33333333,0.49,All,0,MAR 10 BUSH FIELD TEMP DATA
3/12/03,eBay,82,42,40,0,3.888888889,22.77777778,0.59,All,0,MAR 11 BUSH FIELD TEMP DATA
3/13/03,eBay,82,42,40,6.4,12.22222222,27.77777778,0.69,All,0,
3/14/03,eBay,82,42,40,0,16.11111111,26.66666667,0.78,All,0,
3/15/03,eBay,82,42,40,32,8.333333333,26.66666667,0.86,All,0,
3/16/03,eBay,82,42,40,3.5,10,10.55555556,0.93,All,0,
3/17/03,eBay,82,42,40,4.2,10,14.44444444,0.98,All,0,
3/18/03,eBay,82,42,40,20,14.44444444,17.77777778,1,All,0,min temp was 68
3/19/03,eBay,82,42,40,1,15.55555556,21.11111111,0.99,All,0,OC - imending rain
3/20/03,eBay,82,42,40,51,15.55555556,19.44444444,0.95,All,0,BUSH FIELDS MAR 19TH TEMP DATA
3/21/03,eBay,82,42,40,2.6,11.66666667,25.55555556,0.89,All,0,
3/22/03,eBay,82,42,40,0,7.222222222,27.77777778,0.81,All,0,
3/23/03,eBay,82,42,40,4,7.777777778,26.11111111,0.71,All,0,OVERCAST
3/24/03,eBay,82,42,40,0,6.666666667,25.55555556,0.6,All,0,"SUNNY, THERMO NOT RESET"
3/25/03,eBay,82,42,40,0,5,26.66666667,0.49,All,0,CLEAR
3/26/03,eBay,82,42,40,0,11.11111111,30,0.38,All,0,"PERFECT SUNSHINE, 2ND RUN BEAUTIFUL"
3/27/03,eBay,82,42,40,0,13.33333333,28.33333333,0.28,All,0,
3/28/03,eBay,82,42,40,0,14.44444444,25.55555556,0.19,All,0,
3/29/03,eBay,82,42,40,0,16.11111111,26.11111111,0.12,All,0,
3/30/03,eBay,82,42,40,5.8,11.66666667,28.88888889,0.06,All,0,
3/31/03,eBay,82,42,40,3,0,11.11111111,0.03,All,0,
4/1/03,eBay,82,42,40,0,-0.555555556,21.11111111,0,All,0,
4/2/03,eBay,82,42,40,0,9.444444444,23.33333333,0,All,0,2ND RUN SUNNY
4/3/03,eBay,82,42,40,0,10.55555556,25.55555556,0.02,All,0,"SUNNY, BUSH FIELDS 2ND TEMP DATA"
4/4/03,eBay,82,42,40,0,7.777777778,28.88888889,0.05,All,0,ON DATA SHEET WL LISTED AS 18 (WRONG)
4/5/03,eBay,82,42,40,0,14.44444444,27.77777778,0.1,All,0,PARTLY CLOUDY
4/6/03,eBay,82,42,40,5,12.77777778,23.88888889,0.16,All,0,"MAGNET WAS NOT RESET, BUSH FIELDS 5TH TEMP DATA"
4/7/03,eBay,82,42,40,18,17.77777778,25.55555556,0.24,All,0,
4/8/03,eBay,82,42,40,65,11.11111111,22.22222222,0.33,All,0,
4/9/03,eBay,82,42,40,25,9.444444444,12.77777778,0.42,All,0,
4/10/03,eBay,82,42,40,39.2,7.222222222,14.44444444,0.52,All,0,LT. RAIN
4/11/03,eBay,82,42,40,6.7,7.777777778,10,0.63,All,0,"CLOUDY, CLEARING"
4/12/03,eBay,82,42,40,1,5,26.66666667,0.73,All,0,
4/13/03,eBay,82,42,40,0,6.111111111,25.55555556,0.82,All,0,
4/14/03,eBay,82,42,40,0,8.888888889,28.88888889,0.9,All,0,
4/15/03,eBay,82,42,40,0,13.33333333,30,0.96,All,0,FOGGY
4/16/03,eBay,82,42,40,0,8.888888889,28.88888889,0.99,All,0,
4/17/03,eBay,82,42,40,0,11.11111111,28.88888889,1,All,0,
4/18/03,eBay,82,42,40,6,17.77777778,28.33333333,0.97,All,0,RAIN -> SUN
4/19/03,eBay,82,42,40,7.5,11.11111111,27.77777778,0.92,All,0,OVERCAST
4/20/03,eBay,82,42,40,0,15.55555556,21.11111111,0.84,All,0,OVERCAST
4/21/03,eBay,82,42,40,0,12.77777778,25.55555556,0.74,All,0,CLOUDY
4/22/03,eBay,82,42,20,0.7,14.44444444,26.66666667,0.64,HalfSet,0,CLEAR
4/23/03,eBay,82,42,20,0,5,26.11111111,0.53,HalfSet,0,SUNNY COOL
4/24/03,eBay,82,42,20,0,3.888888889,24.44444444,0.43,HalfSet,0,
4/25/03,eBay,82,42,20,32.54,15,26.11111111,0.33,HalfSet,0,RAINING
4/26/03,eBay,82,42,20,8.8,15,21.66666667,0.24,HalfSet,0,PARTLY CLOUDY (60%)
4/27/03,eBay,82,42,20,0,12.22222222,26.66666667,0.16,HalfSet,0,CLEAR
4/28/03,eBay,82,42,20,0,13.33333333,27.22222222,0.1,HalfSet,0,SUNNY
4/29/03,eBay,82,42,20,0,15,28.33333333,0.05,HalfSet,0,CLEAR
4/30/03,eBay,82,42,20,0,13.88888889,30.55555556,0.02,HalfSet,0,CLEAR
5/1/03,eBay,82,42,20,0,16.66666667,31.11111111,0,HalfSet,0,PARTLY CLOUDY
5/2/03,eBay,82,42,20,0,16.66666667,29.44444444,0,HalfSet,0,CLEAR LOVELY DAY
5/3/03,eBay,82,42,20,16.4,14.44444444,31.66666667,0.03,HalfSet,0,CLOUDY
5/4/03,eBay,82,42,20,0.2,19.44444444,23.33333333,0.06,HalfSet,0,OVERCAST
5/5/03,eBay,82,42,20,0,17.22222222,27.77777778,0.12,HalfSet,0,OVERCAST
5/6/03,eBay,82,42,20,0,20,28.88888889,0.19,HalfSet,0,
5/7/03,eBay,82,42,20,13.4,20,31.66666667,0.27,HalfSet,0,OVERCAST
5/8/03,eBay,82,42,20,0.8,18.88888889,31.11111111,0.37,HalfSet,0,CLOUDY
5/9/03,eBay,82,42,20,0,18.88888889,31.11111111,0.47,HalfSet,0,CLEAR
5/10/03,eBay,82,42,20,0,19.44444444,32.77777778,0.58,HalfSet,0,HAZY-HOT
5/11/03,eBay,82,42,20,0,20.55555556,32.22222222,0.68,HalfSet,0,WARM - HAZY
5/12/03,eBay,82,42,20,0,16.66666667,32.22222222,0.79,HalfSet,0,CLEAR AND WINDY
5/13/03,eBay,82,42,20,0,11.11111111,27.77777778,0.87,HalfSet,0,CLEAR
5/14/03,eBay,82,42,20,0,11.11111111,27.77777778,0.94,HalfSet,0,CLOUDY AND COOL
5/15/03,eBay,82,42,20,15.1,10,27.77777778,0.99,HalfSet,0,RAINING
5/16/03,eBay,82,42,20,0.8,16.66666667,23.33333333,1,HalfSet,0,OVERCAST
5/17/03,eBay,82,42,20,11.9,16.66666667,29.44444444,0.98,HalfSet,0,FOG
5/18/03,eBay,82,42,20,16,20,30,0.94,HalfSet,0,
5/19/03,eBay,82,42,20,24,15,27.22222222,0.87,HalfSet,0,OVERCAST
5/20/03,eBay,82,42,20,0,14.44444444,20,0.78,HalfSet,0,OVERCAST
5/21/03,eBay,82,42,20,0,16.11111111,26.66666667,0.69,HalfSet,0,CLOUDY
5/22/03,eBay,82,42,0,1.4,17.77777778,27.22222222,0.58,None,0,"CLOUDY, RAINY"
5/23/03,eBay,82,42,0,57.1,17.22222222,25,0.48,None,0,"CLOUDY, COOL"
5/24/03,eBay,82,42,0,0.7,14.44444444,23.33333333,0.38,None,0,CLOUDY
5/25/03,eBay,82,42,0,0,14.44444444,28.33333333,0.29,None,0,OVERCAST
5/26/03,eBay,82,42,0,0,22.77777778,30,0.21,None,0,OVERCAST
5/27/03,eBay,82,42,0,0,19.44444444,27.77777778,0.14,None,0,OVERCAST
5/28/03,eBay,82,42,0,0,17.22222222,28.33333333,0.08,None,0,SUNNY
5/29/03,eBay,82,42,0,0,13.33333333,27.77777778,0.04,None,0,"SUNNY, COOL"
5/30/03,eBay,82,42,0,0,12.22222222,27.77777778,0.01,None,0,SUNNY 
5/31/03,eBay,82,42,0,0,16.66666667,28.33333333,0,None,0,SUNNY
6/1/03,eBay,82,42,0,1,14.44444444,32.22222222,0.01,None,0,PARTLY CLOUDY
6/2/03,eBay,82,42,0,0,12.22222222,28.33333333,0.04,None,0,CLEAR
6/3/03,eBay,82,42,0,0,17.77777778,29.44444444,0.09,None,0,OVERCAST
6/4/03,eBay,82,42,0,4.1,21.11111111,28.88888889,0.15,None,0,OVERCAST
6/5/03,eBay,82,42,0,0,14.44444444,30.55555556,0.23,None,0,PARTLY CLOUDY
6/6/03,eBay,82,42,0,0,17.22222222,30,0.33,None,0,PARTLY CLOUDY
6/7/03,eBay,82,42,0,112,16.11111111,29.44444444,0.43,None,0,"OVERCAST, BUSH FIELDS 6TH TEMP DATA"
6/8/03,eBay,82,42,0,30,16.66666667,28.88888889,0.54,None,0,DRIZZLE OVERCAST
6/9/03,eBay,82,42,0,17.6,20,28.88888889,0.65,None,0,CLEAR
6/10/03,eBay,82,42,0,0,20,30.55555556,0.76,None,0,FEW CLOUDS CLEAR
6/11/03,eBay,82,42,0,0,21.11111111,32.22222222,0.85,None,0,CLEAR
6/12/03,eBay,82,42,0,2.5,25.55555556,30.55555556,0.93,None,0,CLEAR
6/13/03,eBay,82,42,0,30.9,20,31.11111111,0.98,None,0,CLOUDY
6/14/03,eBay,82,42,0,10.6,21.11111111,28.88888889,1,None,0,CLOUDY
6/15/03,eBay,82,42,0,7.8,21.11111111,30,0.99,None,0,CLOUDY
6/16/03,eBay,82,42,0,0,25.55555556,31.66666667,0.96,None,0,CLEAR
6/17/03,eBay,82,42,0,0.6,21.66666667,33.33333333,0.9,None,0,SOME THUNDER CLOUDY
6/18/03,eBay,82,42,0,0,22.22222222,30.55555556,0.82,None,0,TRACE WATER IN GAUGE; OVERCAST
6/19/03,eBay,82,42,0,21.4,21.66666667,31.66666667,0.74,None,0,CLOUDY
6/20/03,eBay,82,42,40,0,21.66666667,31.11111111,0.64,DayOnly,1,PARTLY CLOUDY
6/21/03,eBay,82,42,40,0,20,32.22222222,0.54,DayOnly,1,50% CLOUD COVER
6/22/03,eBay,82,42,40,0,14.44444444,28.88888889,0.44,DayOnly,1,"SPARSE CLOUDS, CLEAR"
6/23/03,eBay,82,42,40,0,16.66666667,30,0.35,None,0,CLEAR
6/24/03,eBay,82,42,40,0,16.66666667,31.11111111,0.26,DayOnly,1,SUNNY
6/25/03,eBay,82,42,40,0,22.22222222,32.22222222,0.18,All,0,CLEAR
6/26/03,eBay,82,42,40,0,17.22222222,32.77777778,0.12,All,0,CLEAR
6/27/03,eBay,82,42,40,0,20.55555556,32.22222222,0.06,All,0,CLEAR
6/28/03,eBay,82,42,40,2,22.22222222,32.22222222,0.02,NightOnly,0,RAIN - OVERCAST
6/29/03,eBay,82,42,40,25.7,19.44444444,30.55555556,0,None,0,OVERCAST
6/30/03,eBay,82,42,40,4.1,20.55555556,31.11111111,0,DayOnly,1,PARTLY CLOUDY
7/1/03,eBay,82,42,40,7.2,22.22222222,31.11111111,0.02,All,0,RAINY
7/2/03,eBay,82,42,40,31.3,21.11111111,28.33333333,0.06,DayOnly,1,CLOUDY
7/3/03,eBay,82,42,40,0,21.66666667,28.88888889,0.12,DayOnly,1,"PARTLY CLOUDY, SUNNY"
7/4/03,eBay,82,42,40,26.8,20,32.77777778,0.2,All,0,CLEAR
7/5/03,eBay,82,42,40,2.6,21.11111111,32.22222222,0.3,DayOnly,1,CLOUDY
7/6/03,eBay,82,42,40,0,21.66666667,31.66666667,0.4,DayOnly,1,CLOUDY
7/7/03,eBay,82,42,40,0.2,21.66666667,32.22222222,0.51,DayOnly,1,"SOME CLOUDS, SUNNY"
7/8/03,eBay,82,42,40,6,21.11111111,31.66666667,0.63,DayOnly,1,CLEAR
7/9/03,eBay,82,42,40,0,21.66666667,32.77777778,0.73,All,0,"SUNNY, CLEAR"
7/10/03,eBay,82,42,40,0,22.22222222,33.33333333,0.83,DayOnly,1,CLEAR
7/11/03,eBay,82,42,40,0,21.66666667,34.44444444,0.91,DayOnly,1,CLEAR
7/12/03,eBay,82,42,40,18.4,21.66666667,32.22222222,0.96,DayOnly,1,OVERCAST
7/13/03,eBay,82,42,40,0,20,32.77777778,0.99,DayOnly,1,SUNNY 
7/14/03,eBay,82,42,40,0,20,31.11111111,1,DayOnly,1,CLEAR
7/15/03,eBay,82,42,40,1,22.22222222,30.55555556,0.97,DayOnly,1,CLOUDY
7/16/03,eBay,82,42,40,0,21.66666667,30.55555556,0.93,DayOnly,1,CLEAR
7/17/03,eBay,82,42,40,0,22.77777778,32.77777778,0.86,DayOnly,1,CLEAR
7/18/03,eBay,82,42,40,0,22.22222222,33.33333333,0.79,DayOnly,1,PARTLY CLOUDY 
7/19/03,eBay,82,42,40,1.3,21.66666667,32.22222222,0.7,DayOnly,1,CLEAR
7/20/03,eBay,82,42,40,9.1,21.11111111,32.22222222,0.6,DayOnly,1,HAZY
7/21/03,eBay,82,42,40,0,21.66666667,29.44444444,0.51,DayOnly,1,CLEAR WITH FOG
7/22/03,eBay,82,42,40,0,24.44444444,32.77777778,0.41,DayOnly,1,WINDY/CLOUDY
7/23/03,eBay,82,42,40,46.4,21.11111111,30,0.32,All,0,RAINING
7/24/03,eBay,82,42,40,14,19.44444444,25,0.24,DayOnly,1,CLOUDY OVERCAST
7/25/03,eBay,82,42,40,0,22.22222222,31.11111111,0.16,DayOnly,1,"FOGGY, CLOUDY"
7/26/03,eBay,82,42,40,2,20.55555556,31.11111111,0.1,DayOnly,1,DRIZZLE
7/27/03,eBay,82,42,40,28,22.22222222,25.55555556,0.05,DayOnly,1,OVERCAST
7/28/03,eBay,82,42,40,0.5,23.33333333,30,0.01,DayOnly,1,CLEAR
7/29/03,eBay,82,42,40,2.8,21.11111111,31.11111111,0,All,0,CLEAR
7/30/03,eBay,82,42,40,0.1,21.66666667,32.77777778,0.01,All,0,OVERCAST
7/31/03,eBay,82,42,40,7,21.11111111,32.22222222,0.04,All,0,CLEAR
8/1/03,eBay,82,42,40,1,21.66666667,31.66666667,0.1,All,0,OVERCAST
8/2/03,eBay,82,42,40,0,22.22222222,31.11111111,0.18,All,0,
8/3/03,eBay,82,42,40,1.8,24.44444444,30,0.27,All,0,"DRIZZLE, CLOUDY"
8/4/03,eBay,82,42,40,6.7,21.66666667,30,0.38,All,0,OVERCAST
8/5/03,eBay,82,42,40,0,20.55555556,30.55555556,0.49,All,0,OVERCAST
8/6/03,eBay,82,42,40,0,22.77777778,30.55555556,0.6,All,0,CLEAR
8/7/03,eBay,82,42,40,5,21.66666667,30.55555556,0.71,All,0,OVERCAST
8/8/03,eBay,82,42,40,22,21.66666667,31.11111111,0.81,All,0,FOGGY - LIGHT MIST
8/9/03,eBay,82,42,40,0.2,21.11111111,31.66666667,0.89,All,0,OVERCAST
8/10/03,eBay,82,42,40,2.8,21.66666667,31.66666667,0.95,All,0,OVERCAST
8/11/03,eBay,82,42,40,3.5,21.11111111,30,0.99,All,0,OVERCAST
8/12/03,eBay,82,42,40,0,21,30,1,All,0,
8/13/03,eBay,82,42,40,1.7,21.66666667,29.44444444,0.99,All,0,OVERCAST
8/14/03,eBay,82,42,40,0,21.66666667,30.55555556,0.95,All,0,CLEAR
8/15/03,eBay,82,42,40,0,22.22222222,32.77777778,0.9,All,0,PARTLY CLOUDY
8/16/03,eBay,82,42,40,0.6,22.22222222,32.22222222,0.84,All,0,
8/17/03,eBay,82,42,40,3.7,21.11111111,32.22222222,0.76,All,0,
8/18/03,eBay,82,42,40,0,22.22222222,31.11111111,0.67,All,0,OVERCAST
8/19/03,eBay,82,42,40,0,22.77777778,31.66666667,0.58,All,0,HEAVY FOG
8/20/03,eBay,82,42,40,2.8,22.22222222,32.77777778,0.48,All,0,SUNNY
8/21/03,eBay,82,42,40,0.2,21.11111111,32.22222222,0.39,All,0,OVERCAST
8/22/03,eBay,82,42,40,0,21.11111111,32.22222222,0.3,All,0,PARTLY CLOUDY
8/23/03,eBay,82,42,40,0,21.11111111,32.22222222,0.21,All,0,SUNNY
8/24/03,eBay,82,42,40,0,22.22222222,32.77777778,0.14,All,0,CLEAR
8/25/03,eBay,82,42,40,0,22.77777778,33.33333333,0.08,All,0,OVERCAST
8/26/03,eBay,82,42,40,0,21.11111111,32.22222222,0.03,All,0,CLEAR
8/27/03,eBay,82,42,40,0,21.66666667,33.33333333,0.01,All,0,SUNNY
8/28/03,eBay,82,42,40,0,22.22222222,34.44444444,0,All,0,SUNNY
8/29/03,eBay,82,42,40,0,22.77777778,34.44444444,0.03,All,0,PARTLY CLOUDY
8/30/03,eBay,82,42,40,0,22.77777778,32.77777778,0.08,All,0,CLOUDY
8/31/03,eBay,82,42,40,0,22.22222222,33.33333333,0.15,All,0,PARTLY CLOUDY
9/1/03,eBay,82,42,40,0,21.11111111,33.33333333,0.25,All,0,OVERCAST
9/2/03,eBay,82,42,40,11,21.11111111,32.22222222,0.35,All,0,OVERCAST
9/3/03,eBay,82,42,40,2,21.11111111,32.22222222,0.47,All,0,SUNNY - CLEAR
9/4/03,eBay,82,42,40,0,23.33333333,31.66666667,0.58,All,0,CLOUDY
9/5/03,eBay,82,42,40,8,22.77777778,32.77777778,0.69,All,0,CLOUDY
9/6/03,eBay,82,42,40,6.5,20,27.77777778,0.78,All,0,RAINING
9/7/03,eBay,82,42,40,1.8,17.77777778,25.55555556,0.87,All,0,RAINY/CLOUDY
9/8/03,eBay,82,42,40,1.4,18.88888889,22.22222222,0.93,All,0,OVERCAST
9/9/03,eBay,82,42,40,0,20,25.55555556,0.97,All,0,SUNNY - COOL
9/10/03,eBay,82,42,40,0,18.88888889,27.77777778,1,All,0,COOL - CLEAR
9/11/03,eBay,82,42,40,0,15.55555556,27.22222222,1,All,0,PARTLY CLOUDY
9/12/03,eBay,82,42,40,0,16.66666667,27.77777778,0.98,All,0,COOL - PARTLY CLOUDY
9/13/03,eBay,82,42,40,0,15.55555556,27.77777778,0.94,All,0,SUNNY
9/14/03,eBay,82,42,40,0,15.55555556,30,0.88,All,0,"CLEAR, HUMID, BUSH FIELDS 13TH TEMPS"
9/15/03,eBay,82,42,40,0,20.55555556,30.55555556,0.82,All,0,SUNNY - CLEAR
9/16/03,eBay,82,42,40,0,19.44444444,31.66666667,0.74,All,0,SUNNY
9/17/03,eBay,82,42,40,0,16.11111111,28.88888889,0.65,All,0,SUNNY - CLEAR
9/18/03,eBay,82,42,40,0,14.44444444,29.44444444,0.56,All,0,SUNNY
9/19/03,eBay,82,42,40,0,13.33333333,30,0.46,All,0,CLEAR 
9/20/03,eBay,82,42,40,0,13.33333333,31.11111111,0.37,All,0,CLEAR
9/21/03,eBay,82,42,40,0,15.55555556,32.22222222,0.27,All,0,CLEAR
9/22/03,eBay,82,42,40,10,18.33333333,31.66666667,0.19,All,0,OVERCAST
9/23/03,eBay,82,42,40,29,21.11111111,30,0.11,All,0,
9/24/03,eBay,82,42,40,0.1,15.55555556,28.88888889,0.05,All,0,CLEAR
9/25/03,eBay,82,42,40,0,13.33333333,28.88888889,0.01,All,0,SCATTERED CLOUDS
9/26/03,eBay,82,42,40,0,15,30.55555556,0,All,0,MISTY
9/27/03,eBay,82,42,40,0,15.55555556,31.66666667,0.02,All,0,BREEZY - CLEAR
9/28/03,eBay,82,42,40,0,17.22222222,32.22222222,0.06,All,0,SUNNY - CLEAR
9/29/03,eBay,82,42,40,0,5.555555556,27.77777778,0.13,All,0,"CALM, CLEAR"
9/30/03,eBay,82,42,40,0,7.222222222,23.33333333,0.22,All,0,BREEZY - CLEAR
10/1/03,eBay,82,42,40,0,5.555555556,24.44444444,0.32,All,0,COOL - CLEAR
10/2/03,eBay,82,42,40,0,10,26.66666667,0.43,All,0,WINDY/COOL/CLEAR
10/3/03,eBay,82,42,40,0,5.555555556,23.33333333,0.55,All,0,COOL - CLEAR
10/4/03,eBay,82,42,40,0,6.111111111,23.88888889,0.65,All,0,SUNNY - CLEAR
10/5/03,eBay,82,42,40,0,8.888888889,28.88888889,0.75,All,0,SUNNY  
10/6/03,eBay,82,42,40,0,13.33333333,29.44444444,0.84,All,0,CLOUDY
10/7/03,eBay,82,42,40,7.2,14.44444444,29.44444444,0.91,All,0,"JUST QUIT DRIZZLING, OVERCAST"
10/8/03,eBay,82,42,40,2.6,16.66666667,26.66666667,0.96,All,0,OVERCAST
10/9/03,eBay,82,42,40,0,16.11111111,25.55555556,0.99,All,0,CLOUDY
10/10/03,eBay,82,42,40,0,15,24.44444444,1,All,0,OVERCAST
10/11/03,eBay,82,42,40,2,15.55555556,22.22222222,0.99,All,0,"DRIZZLE - OVERCAST, BUSH FIELD 10TH TEMP DATA"
10/12/03,eBay,82,42,40,0.5,15.55555556,24.44444444,0.97,All,0,HUMID - OVERCAST
10/13/03,eBay,82,42,40,0,12.77777778,27.22222222,0.93,All,0,DAMP/COOL/SUNNY
10/14/03,eBay,82,42,40,12.8,16.66666667,30,0.87,All,0,LIGHT RAIN
10/15/03,eBay,82,42,40,1,7.222222222,27.77777778,0.8,All,0,SUNNY
10/16/03,eBay,82,42,40,0,4.444444444,22.77777778,0.72,All,0,SUNNY
10/17/03,eBay,82,42,40,0,6.666666667,26.66666667,0.63,All,0,MOSTLY CLOUDY - COOL
10/18/03,eBay,82,42,40,0,10,28.33333333,0.53,All,0,
10/19/03,eBay,82,42,40,0,6.666666667,23.33333333,0.43,All,0,COOL - CLEAR
10/20/03,eBay,82,42,40,0,7.777777778,26.11111111,0.33,All,0,COOL - CLEAR
10/21/03,eBay,82,42,40,0,10,27.77777778,0.24,All,0,COOL - CLEAR
10/22/03,eBay,82,42,40,0,13.33333333,30,0.15,All,0,CLEAR
10/23/03,eBay,82,42,40,0,4.444444444,28.33333333,0.08,All,0,SUNNY - COOL
10/24/03,eBay,82,42,40,0,6.666666667,22.22222222,0.03,All,0,SUNNY  
10/25/03,eBay,82,42,40,0,10,27.77777778,0,All,0,SUNNY
10/26/03,eBay,82,42,40,1,19.44444444,26.66666667,0.01,All,0,PARTLY CLOUDY
10/27/03,eBay,82,42,40,0.2,17.77777778,27.77777778,0.04,All,0,OVERCAST
10/28/03,eBay,82,42,40,5.2,15,23.33333333,0.1,All,0,RAINING
10/29/03,eBay,82,42,40,58,10,25,0.19,All,0,SUNNY
10/30/03,eBay,82,42,40,0,5.555555556,24.44444444,0.29,All,0,SUNNY
10/31/03,eBay,82,42,40,0,8.888888889,26.66666667,0.39,All,0,SUNNY
11/1/03,eBay,82,42,40,0,7.777777778,26.66666667,0.5,All,0,"CLEAR, WARM"
11/2/03,eBay,82,42,40,0,7.222222222,27.77777778,0.61,All,0,"CLEAR, SUNNY"
11/3/03,eBay,82,42,40,0,8.888888889,28.88888889,0.71,All,0,SUNNY
11/4/03,eBay,82,42,40,0,20,23.33333333,0.8,All,0,"OVERCAST, BUSH FIELD WTHR"
11/5/03,eBay,82,42,40,2.2,19.44444444,24.44444444,0.87,All,0,"CLOUDY, BUSH FIELD WTHR"
11/6/03,eBay,82,42,40,11.8,22.22222222,25.55555556,0.93,All,0,OVERCAST 
11/7/03,eBay,82,42,40,0,14.44444444,28.88888889,0.97,All,0,CLOUDY 
11/8/03,eBay,82,42,40,0.3,16.66666667,24.44444444,0.99,All,0,WINDY & OVERCAST
11/9/03,eBay,82,42,40,1.7,7.777777778,18.88888889,1,All,0,WINDY & OVERCAST
11/10/03,eBay,82,42,40,0,5,15.55555556,0.99,All,0,COLD WINDY SUNNY
11/11/03,eBay,82,42,40,0,3.888888889,19.44444444,0.96,All,0,CLEAR SUNNY
11/12/03,eBay,82,42,40,0,8.333333333,25,0.91,All,0,CLEAR
