Date,Bay,Species
5/7/06,R,TACO
5/8/06,119,TACO
5/11/06,R,TACO
5/11/06,5148,TACO
5/19/06,37,DIPU
5/19/06,5148,VIVA
5/21/06,R,CECO
5/21/06,119,DIPU
5/21/06,5148,TACO
5/21/06,119,TACO
5/21/06,119,TACO
5/21/06,5148,TACO
5/22/06,37,VIVA
5/23/06,R,TACO
5/23/06,R,TACO
5/23/06,5148,TACO
5/23/06,37,TACO
5/23/06,R,VIVA
5/23/06,37,VIVA
5/24/06,37,STOC
5/25/06,37,CECO
5/25/06,5148,TACO
5/25/06,119,TACO
5/26/06,119,TACO
5/26/06,37,VIVA
5/27/06,R,TACO
5/27/06,R,TACO
5/27/06,37,VIVA
5/29/06,5148,STOC
5/29/06,119,TACO
5/29/06,R,TACO
5/29/06,5148,TACO
5/29/06,37,TACO
5/30/06,119,CECO
5/30/06,37,TACO
6/2/06,119,TACO
6/2/06,5148,TACO
6/3/06,119,TACO
6/4/06,R,TACO
6/4/06,119,TACO
6/4/06,5148,VIVA
6/7/06,5148,DIPU
6/9/06,119,TACO
6/12/06,5148,TACO
6/12/06,5148,TACO
6/12/06,5148,TACO
6/12/06,R,TACO
6/12/06,37,TACO
6/15/06,5148,TACO
6/15/06,5148,VIVA
6/16/06,R,TACO
6/16/06,5148,TACO
6/16/06,5148,TACO
6/18/06,R,TACO
6/18/06,5148,TACO
6/18/06,37,TACO
6/20/06,37,DIPU
6/20/06,119,TACO
6/20/06,119,TACO
6/20/06,119,TACO
6/20/06,R,TACO
6/20/06,R,TACO
6/20/06,5148,TACO
6/20/06,5148,TACO
6/20/06,5148,TACO
6/20/06,5148,TACO
6/20/06,5148,TACO
6/22/06,37,TACO
6/22/06,5148,TACO
6/22/06,R,TACO
6/22/06,R,TACO
6/23/06,5148,TACO
6/23/06,R,TACO
6/23/06,R,TACO
6/24/06,5148,TACO
6/24/06,5148,TACO
6/24/06,5148,TACO
6/24/06,5148,TACO
6/24/06,5148,TACO
6/24/06,119,TACO
6/24/06,119,TACO
6/24/06,119,VIVA
6/26/06,R,VIVA
6/28/06,119,TACO
6/28/06,119,TACO
6/29/06,5148,TACO
6/29/06,5148,TACO
6/29/06,5148,TACO
7/1/06,119,CECO
7/1/06,5148,TACO
7/1/06,R,TACO
7/3/06,5148,TACO
7/3/06,5148,TACO
7/3/06,119,TACO
7/3/06,R,TACO
7/3/06,37,TACO
7/5/06,R,CECO
7/5/06,R,CECO
7/5/06,37,TACO
7/5/06,R,TACO
7/5/06,119,TACO
7/5/06,119,TACO
7/5/06,37,TACO
7/5/06,5148,VIVA
7/7/06,R,TACO
7/7/06,R,TACO
7/7/06,R,TACO
7/7/06,R,TACO
7/7/06,119,TACO
7/9/06,R,TACO
7/9/06,5148,TACO
7/9/06,119,TACO
7/9/06,37,TACO
7/11/06,119,STOC
7/11/06,R,TACO
7/11/06,5148,TACO
7/13/06,5148,TACO
7/13/06,R,TACO
7/13/06,5148,TACO
7/15/06,R,DIPU
7/15/06,119,TACO
7/15/06,R,TACO
7/15/06,5148,TACO
7/15/06,R,TACO
7/17/06,37,STOC
7/17/06,119,TACO
7/17/06,5148,TACO
7/17/06,5148,TACO
7/17/06,R,VIVA
7/17/06,R,VIVA
7/19/06,119,TACO
7/19/06,37,TACO
7/21/06,5148,TACO
7/21/06,R,TACO
7/21/06,R,TACO
7/23/06,119,TACO
